worker_id,assignment_id,uniqueid,pid,datetime,trial_id,jitter,exp_duration,loc_x,loc_y,n_shown,color,n_guess,rt
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,-152.74139152,24.7750137948,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,-14.1286956024,-54.0223918248,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,-25.0486012943,-93.314292079,R,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,-93.0711477737,-105.168952878,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,48.900027003,-19.5968010399,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,72.3057922259,-101.509696478,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,64.116451374,-143.506351915,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717959207,754831,4,50,500,62.8399017714,-16.5060697813,B,1,1,394
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717959208,754831,4,50,500,124.976575867,9.67834231138,B,1,1,394
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717959208,754831,4,50,500,154.294579373,-13.0884820466,B,1,1,394
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717959208,754831,4,50,500,6.33642397454,61.4033721741,B,1,1,394
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717959208,754831,4,50,500,35.2264093355,87.7982598188,B,1,1,394
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717959208,754831,4,50,500,77.6558712094,107.335161699,B,1,1,394
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717959209,754831,4,50,500,-22.3170992839,62.9377664686,B,1,1,394
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717959209,754831,4,50,500,-73.027024344,93.8241037814,B,1,1,394
